PBS at Day,Placement,,,1,,,2,,,3,,,4,,,5,,,6,,,7,,,8,,,9,,,10,,,11,,,12,,,13,,,14,,,15,,,16,,
SUBJECT,Head,Torso,TBS,Head,Torso,TBS,Head,Torso,TBS,Head,Torso,TBS,Head,Torso,TBS,Head,Torso,TBS,Head,Torso,TBS,Head,Torso,TBS,Head,Torso,TBS,Head,Torso,TBS,Head ,Torso ,TBS,Head,Torso,TBS,Head,Torso,TBS,Head,Torso,TBS,Head ,Torso,TBS,Head,Torso,TBS,Head,Torso,TBS
1A1,A1,A1,2,B2,B3,7,C1,B3,9,C1,B3,9,C1,B4,10,C2,B4,11,C2,B4,11,C3,C1,13,C3,C1,13,C4,C2,15,C4,C2,15,C4,C2,15,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16
1A2,A1,A1,2,B2,B1,4,B2,B2,5,B3,B3,8,B3,B3,8,C1,B4,10,C1,B4,10,C2,C1,12,C2,C1,12,C3,C2,14,C3,C2,14,C3,C2,14,C4,C2,15,C4,C2,15,C4,C2,15,C4,C3,16,C4,C3,16
1A3,A1,A1,2,B2,B2,6,C1,B3,9,C1,B4,10,C2,C1,12,C2,C2,13,C3,C2,14,C3,C2,14,C4,C2,15,C4,C2,15,C4,C2,15,C4,C2,15,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16
1A4,A1,A1,2,B1,B1,4,B2,B2,6,B2,B3,7,C1,B4,10,C1,B4,10,C1,C1,11,C1,C1,11,C2,C2,13,C2,C2,13,C2,C2,13,C2,C2,13,C3,C3,15,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16
1A5,A1,A1,2,B2,B2,6,B2,B2,6,B3,B3,8,C1,B3,9,C2,B4,11,C3,B4,12,C4,C1,14,C4,C2,15,C4,C2,15,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16
1A6,A1,A1,2,B2,B1,5,B3,B2,7,C1,B3,9,C1,B3,9,C2,B3,10,C2,B4,11,C3,B4,12,C3,C1,13,C3,C1,13,C4,C1,14,C4,C1,14,C4,C2,15,C4,C2,15,C4,C2,15,C4,C2,16,C4,C3,16
1A7,A1,A1,2,B2,B2,6,C1,B2,8,C1,B3,9,C1,B4,10,C1,B4,10,C1,B4,10,C1,B4,10,C3,C1,13,C3,C1,13,C3,C1,13,C4,C1,14,C4,C2,15,C4,C2,15,C4,C2,15,C4,C3,16,C4,C3,16
1A8,A1,A1,2,B2,B2,6,B3,B3,8,C1,B3,9,C1,B3,9,C1,B3,9,C2,B4,11,C2,B4,11,C3,C1,13,C3,C1,13,C3,C1,13,C4,C1,14,C4,C2,15,C4,C2,15,C4,C2,15,C4,C3,16,C4,C3,16
1A9,A1,A1,2,B1,B2,5,B2,B3,7,B2,B4,8,C1,B4,10,C1,B4,10,C2,C1,12,C3,C1,13,C3,C2,14,C4,C2,14,C4,C2,15,C4,C2,15,C4,C2,15,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16
1A10,A1,A1,2,B2,B2,6,C1,B3,9,C1,B3,9,C2,B4,11,C3,C1,13,C3,C1,13,C4,C2,15,C4,C2,15,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16
1B1,A1,A1,2,B1,B1,4,B1,B2,5,B2,B3,7,C1,B3,9,C2,B4,11,C2,B4,11,C3,C1,13,C4,C1,14,C4,C1,14,C4,C2,15,C4,C2,15,C4,C2,15,C4,C2,15,C4,C3,16,C4,C3,16,C4,C3,16
1B2,A1,A1,2,A1,B3,5,B1,B3,6,B2,B4,8,B2,B4,8,B2,B4,8,C2,C1,12,C2,C1,12,C2,C2,13,C3,C2,14,C3,C2,14,C3,C2,14,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16
1B3,A1,A1,2,B1,B2,5,B2,B3,7,B2,B3,7,B2,B3,7,B2,B3,7,C1,B3,9,C2,B4,11,C2,B4,11,C4,C1,14,C4,C1,14,C4,C1,14,C4,C2,15,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16
1B4,A1,A1,2,B2,B2,6,B2,B3,7,B3,B3,8,C1,B3,9,C1,B4,10,C2,C1,12,C3,C1,13,C3,C2,14,C4,C2,15,C4,C2,15,C4,C2,15,C4,C2,15,C4,C2,15,C4,C2,15,C4,C2,15,C4,C3,16
1B5,A1,A1,2,B1,B1,4,B2,B2,6,B3,B4,9,C1,C1,11,C1,C1,11,C2,C2,13,C3,C2,14,C3,C2,14,C4,C2,15,C4,C2,15,C4,C2,15,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16
1B6,A1,A1,2,B1,B2,5,B2,B3,7,B3,B4,9,C1,B4,10,C1,B4,10,C2,B4,11,C2,C1,12,C3,C2,14,C3,C2,14,C4,C2,15,C4,C2,15,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16
1B7,A1,A1,2,B1,B2,5,B1,B3,6,B2,B3,7,C1,B3,9,C2,B4,11,C2,B4,11,C3,B4,12,C3,C1,13,C4,C1,14,C4,C2,15,C4,C2,15,C4,C2,15,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16
